"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=Mammalia&show=full&order=hierarchy"
"Access Time","Fri 2026-08-28 21:59:00 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mammalia"
"","show","full"
"","order","hierarchy"
"Elapsed Time","0.945"
"Records Found","34129"
"Records Returned","34129"
"Records:"
"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","taxon_attr","common_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","ref_author","ref_pubyr","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","vision","diet","diet_basis","reproduction","reproduction_basis","ontogeny","ontogeny_basis","ecospace_comments","composition","architecture","thickness","reinforcement","taphonomy_basis"
"36651","36651","txn","B","","Mammalia","(Linnaeus 1758)","mammal","","36651","class","Mammalia","67456","Mammaliaformes","Linnaeus","1758","12782","extant","127828","239.48","237","0.0117","0","Ladinian","Holocene","26899","5069","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","See Jenkins, Jr. and Parrington (1976)\r\nWhatley and Carrano set this to scansorial insectivore oviparous and I am unsetting it because it causes all sorts of bizarre problems; individual orders and families should be set instead","hydroxyapatite","","","","Vertebrata"
"39736","39736","txn","","","Prototheria","(Gill 1872)","","","39736","subclass","Prototheria","36651","Mammalia","Carroll","1988","4783","extant","1","152.21","145.06","152.21","145.06","Kimmeridgian","Tithonian","3","3","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"106357","106357","txn","","","Ornithostomi","Cope 1889","","","106357","order","Ornithostomi","39736","Prototheria","Cope","1889","18084","extant","0","","","","","","","1","1","Chordata","Mammalia","Ornithostomi","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"183774","183774","txn","","","Ornithodelphia","(de Blainville 1834)","","","183774","infraclass","Ornithodelphia","39736","Prototheria","McKenna","1975","10470","extant","0","","","","","","","1","1","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"401837","401837","txn","","","Miotheria","Jaekel 1911","","","401837","subclass","Miotheria","36651","Mammalia","Jaekel","1911","58890","extant","0","","","","","","","2","2","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"401838","401838","txn","","","Haplodonti","Jaekel 1911","","","401838","order","Haplodonti","401837","Miotheria","Jaekel","1911","58890","extant","0","","","","","","","1","1","Chordata","Mammalia","Haplodonti","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"105122","105122","txn","","","Erecta","Illiger 1811","","","105122","order","Erecta","36651","Mammalia","Illiger","1811","18770","extant","0","","","","","","","1","1","Chordata","Mammalia","Erecta","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"401874","401874","txn","","","Holotheria","Jaekel 1911","","","401874","subclass","Holotheria","36651","Mammalia","Jaekel","1911","58890","extant","0","","","","","","","2","2","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"401882","401882","txn","","","Diungulati","Jaekel 1911","","","401882","order","Diungulati","401874","Holotheria","Jaekel","1911","58890","extant","0","","","","","","","1","1","Chordata","Mammalia","Diungulati","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
"68343","126963","txn","","","Squalodon mirabilis","(Meyer 1838)","","nomen dubium, species not entered","36651","class","Mammalia","36651","Mammalia","Meyer","1838","16688","extinct","1","15.98","11.63","15.98","11.63","Langhian","Serravallian","0","0","Chordata","Mammalia","","","","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","See Jenkins, Jr. and Parrington (1976)\r\nWhatley and Carrano set this to scansorial insectivore oviparous and I am unsetting it because it causes all sorts of bizarre problems; individual orders and families should be set instead","hydroxyapatite","","","","Vertebrata"
"133449","133449","txn","I","","Molapopentapodiscus","Ellenberger 1970","","","133449","genus","Molapopentapodiscus","36651","Mammalia","Ellenberger","1970","28154","extinct","0","","","","","","","1","0","Chordata","Mammalia","","","Molapopentapodiscus","","terrestrial","Mammalia","actively mobile","Osteichthyes","scansorial","Mammaliaformes","","insectivore","Mammaliaformes","","","","","","hydroxyapatite","","","","Vertebrata"
